PlateAppID,startBaseOutState,FinalBaseOutState,PA_EndValue_ExpectedRuns,PA_StartValue_ExpectedRuns,TotalRPrime,R,ChangeExpRuns,BatterID,Singles,Doubles,Triples,HR,BB,SO,FO
ABAM_AUBN_0505201901_PA05AWAY04,C1,C2,0.341530055,0.813263525,0,2,-0.471733471,TJ_Reeves_ABAM_22,0,0,0,0,0,0,1
ABAM_AUBN_0505201901_PA05AWAY05,C2,B2,0.268656716,0.341530055,1,2,0.927126662,Mo_Mccull_ABAM_08,1,0,0,0,0,0,0
ABAM_AUBN_0505201901_PA05AWAY06,B2,E2,0.49833887,0.268656716,0,1,0.229682154,Ty_Gentry_ABAM_28,1,0,0,0,0,0,0
ABAM_AUBN_0505201901_PA05AWAY07,E2,E2,0.49833887,0.49833887,1,1,1,Dr_Willia_ABAM_55,1,0,0,0,0,0,0
ABAM_AUBN_0505201901_PA06HOME01,A0,A1,0.317337461,0.60122373,0,0,-0.283886268,Ke_Davis0_AUBN_10,0,0,0,0,0,0,1
ABAM_AUBN_0505201901_PA06HOME01,A0,A1,0.317337461,0.60122373,0,0,-0.283886268,Co_Davis0_AUBN_24,0,0,0,0,0,0,1
ABAM_AUBN_0505201901_PA06HOME02,A1,A2,0.117848411,0.317337461,0,0,-0.199489051,Ma_Scheff_AUBN_06,0,0,0,0,0,0,1
ABAM_AUBN_0505201901_PA07AWAY01,A0,A1,0.317337461,0.60122373,0,0,-0.283886268,Ko_Robins_ABAM_24,0,0,0,0,0,0,1
ABAM_AUBN_0505201901_PA07AWAY02,A1,B1,0.663006757,0.317337461,0,0,0.345669295,Ty_Ras000_ABAM_05,1,0,0,0,0,0,0
ABAM_AUBN_0505201901_PA07AWAY03,B1,B2,0.268656716,0.663006757,0,0,-0.39435004,Ko_Morris_ABAM_50,0,0,0,0,0,0,1
ABAM_AUBN_0505201901_PA08HOME01,A0,A1,0.317337461,0.60122373,0,0,-0.283886268,Ka_Howell_AUBN_16,0,0,0,0,0,0,1
ABAM_AUBN_0505201901_PA08HOME02,A1,B1,0.663006757,0.317337461,0,0,0.345669295,Wi_Hollan_AUBN_17,0,0,0,0,0,0,0
ABAM_AUBN_0505201901_PA08HOME03,B1,B2,0.268656716,0.663006757,0,0,-0.39435004,Br_Moore0_AUBN_19,0,0,0,0,0,0,0
ABAM_AUBN_0505201901_PA09AWAY01,A0,A1,0.317337461,0.60122373,0,0,-0.283886268,TJ_Reeves_ABAM_22,0,0,0,0,0,0,1
ABAM_AUBN_0505201901_PA09AWAY02,A1,B1,0.663006757,0.317337461,0,0,0.345669295,Mo_Mccull_ABAM_08,1,0,0,0,0,0,0
ABAM_AUBN_0505201901_PA09AWAY03,B1,B2,0.268656716,0.663006757,0,0,-0.39435004,Ty_Gentry_ABAM_28,0,0,0,0,0,1,0
ABAM_AUBN_0505201901_PA09AWAY05,B2,E2,0.49833887,0.268656716,0,0,0.229682154,Dr_Willia_ABAM_55,0,0,0,0,1,0,0
ABAM_AUBN_0505201901_PA10HOME01,A0,A1,0.317337461,0.60122373,0,0,-0.283886268,Ry_Bliss0_AUBN_09,0,0,0,0,0,0,1
ABAM_AUBN_0505201901_PA10HOME02,A1,A2,0.117848411,0.317337461,0,0,-0.199489051,Ed_Julien_AUBN_10,0,0,0,0,0,0,1
ABAM_AUBN_0505201901_PA10HOME03,A2,C2,0.341530055,0.117848411,0,0,0.223681644,Co_Davis0_AUBN_24,0,1,0,0,0,0,0
ABAM_AUBN_0505201901_PA11AWAY01,A0,A1,0.317337461,0.60122373,0,0,-0.283886268,Ko_Robins_ABAM_24,0,0,0,0,0,0,1
