PlayerID,ID,GameID,PlateAppID,HomeAway,RunnerName,Hole,Action,StartBase,EndBase,BasesAdded,SB,SBA,OutsAdded,Fielder1,Fielder2,RunsAdded,PO,POA,WP,PB,AOE
Ty_Ras000_ABAM_05,140,ABAM_AUBN_0505201901,ABAM_AUBN_0505201901_PA07AWAY05,away,Ras,8,stole,1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
Br_Auerba_ABAM_07,37,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA01AWAY02,away,Auerbach,1,out,1,0,-1,0,0,1,NA,NA,0,0,0,0,0,0
Ry_Bliss0_AUBN_09,38,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA02HOME03,home,Bliss,2,advanced,1,2,1,0,0,0,NA,NA,0,0,0,1,0,0
Ed_Julien_AUBN_10,39,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA02HOME05,home,Julien,3,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Ry_Bliss0_AUBN_09,40,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA02HOME05,home,Bliss,2,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
Ry_Bliss0_AUBN_09,41,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA02HOME06,home,Bliss,2,scored,3,4,1,0,0,0,NA,NA,1,0,0,0,0,0
Co_Davis0_AUBN_24,42,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA02HOME07,home,Davis,4,advanced,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
Ed_Julien_AUBN_10,43,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA02HOME07,home,Julien,3,scored,2,4,2,0,0,0,NA,NA,1,0,0,0,0,0
Ty_Gentry_ABAM_28,44,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA03AWAY03,away,Gentry,4,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Jo_Breaux_ABAM_04,45,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA03AWAY05,away,Breaux,6,advanced,1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
Ty_Gentry_ABAM_28,46,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA03AWAY05,away,Gentry,4,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
Br_Auerba_ABAM_07,47,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA05AWAY03,away,Auerbach,1,out,1,0,-1,0,0,1,NA,NA,0,0,0,0,0,0
Ty_Gentry_ABAM_28,48,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA07AWAY02,away,Gentry,4,stole,1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
Ty_Gentry_ABAM_28,49,ABAM_AUBN_0503201901,ABAM_AUBN_0503201901_PA07AWAY03,away,Gentry,4,advanced,2,3,1,0,0,0,NA,NA,0,0,0,0,0,0
