"","PlayerID","ID","GameID","PlateAppID","HomeAway","RunnerName","Hole","Action","StartBase","EndBase","BasesAdded","SB","SBA","OutsAdded","Fielder1","Fielder2","RunsAdded","PO","POA","WP","PB","AOE"
"4561","No_Campbe_SCAR_02",233014934,"SCAR_ABAM_0406201901","SCAR_ABAM_0406201901_PA01AWAY03","away","Campbell",1,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"4713","Ki_Mcmull_FLOR_52",233015035,"SCAR_FLOR_0412201901","SCAR_FLOR_0412201901_PA18HOME05","home","Mcmullen",3,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"4714","Au_Langwo_FLOR_44",233015036,"SCAR_FLOR_0412201901","SCAR_FLOR_0412201901_PA18HOME05","home","Langworthy",2,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"4895","Ju_Olson0_KENT_26",233015242,"SCAR_TENN_0322201901","SCAR_TENN_0322201901_PA13AWAY10","away","Olson",4,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"4896","Ja_Olson0_SCAR_07",233015242,"SCAR_TENN_0322201901","SCAR_TENN_0322201901_PA13AWAY10","away","Olson",4,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"4917","Ju_Olson0_KENT_26",233015263,"SCAR_TENN_0323201901","SCAR_TENN_0323201901_PA13AWAY04","away","Olson",4,"stole",1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
"4918","Ja_Olson0_SCAR_07",233015263,"SCAR_TENN_0323201901","SCAR_TENN_0323201901_PA13AWAY04","away","Olson",4,"stole",1,2,1,1,1,0,NA,NA,0,0,0,0,0,0
"4928","Ju_Olson0_KENT_26",233015273,"SCAR_TENN_0324201901","SCAR_TENN_0324201901_PA01AWAY06","away","Olson",4,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"4929","Ja_Olson0_SCAR_07",233015273,"SCAR_TENN_0324201901","SCAR_TENN_0324201901_PA01AWAY06","away","Olson",4,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"4946","Br_Allen0_SCAR_03",233015289,"SCAR_TENN_0324201901","SCAR_TENN_0324201901_PA09AWAY05","away","Allen",2,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"4947","Ta_Allen0_MSST_05",233015289,"SCAR_TENN_0324201901","SCAR_TENN_0324201901_PA09AWAY05","away","Allen",2,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"5325","Ev_Russel_TENN_06",233015322,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA05AWAY06","away","Russell",5,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"5326","Al_Soular_TENN_01",233015323,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA05AWAY06","away","Soularie",4,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"5340","Ev_Russel_TENN_06",233015337,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA09AWAY05","away","Russell",5,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"5341","An_Lipciu_TENN_13",233015338,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA09AWAY05","away","Lipcius",3,"scored",1,4,3,0,0,0,NA,NA,1,0,0,0,0,0
"5351","Ja_Kenley_ARKS_07",233015348,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA12HOME07","home","Kenley",6,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"5352","He_Kjerst_ARKS_18",233015349,"TENN_ARKS_0426201901","TENN_ARKS_0426201901_PA12HOME07","home","Kjerstad",5,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"6800","Ca_Martin_ARKS_15",233017053,"TENN_ARKS_0427201901","TENN_ARKS_0427201901_PA02HOME02","home","Martin",2,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
